[],,,,,,,,,,,,,,,,,,,,
[{'text': 'blind beggar', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.943787, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}, {'text': '12th child', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.837268, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}],,,
[{'text': 'Monitor Mackinac Bridges', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.940194, 'emotion': {'sadness': 0.027647, 'joy': 0.360418, 'fear': 0.103555, 'disgust': 0.029869, 'anger': 0.047263}}, {'text': 'CBS Detroit https://t.co/Wbh5aionHr', 'sentiment': {'score': 0.410036, 'label': 'positive'}, 'relevance': 0.676885, 'emotion': {'sadness': 0.167063, 'joy': 0.19114, 'fear': 0.080911, 'disgust': 0.062604, 'anger': 0.078525}}],,,
[{'text': 'que cree que', 'sentiment': {'score': -0.332328, 'label': 'negative'}, 'relevance': 0.962372, 'emotion': {'sadness': 0.222458, 'joy': 0.281563, 'fear': 0.242433, 'disgust': 0.181337, 'anger': 0.133936}}, {'text': 'PUTO VIRUS QUE', 'sentiment': {'score': -0.392615, 'label': 'negative'}, 'relevance': 0.690521, 'emotion': {'sadness': 0.242041, 'joy': 0.068866, 'fear': 0.237742, 'disgust': 0.218015, 'anger': 0.183301}}],,,
[{'text': 'Gros tas', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.900347, 'emotion': {'sadness': 0.290168, 'joy': 0.390005, 'fear': 0.03934, 'disgust': 0.033477, 'anger': 0.085456}}, {'text': 'leur condition', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.726875, 'emotion': {'sadness': 0.300519, 'joy': 0.387395, 'fear': 0.161257, 'disgust': 0.106556, 'anger': 0.030524}}],,,
[{'text': 'severe neurological condition', 'sentiment': {'score': -0.869159, 'label': 'negative'}, 'relevance': 0.967427, 'emotion': {'sadness': 0.215283, 'joy': 0.140969, 'fear': 0.083571, 'disgust': 0.079775, 'anger': 0.04038}}, {'text': 'https://t.co/Xpoyg1zcpT', 'sentiment': {'score': -0.869159, 'label': 'negative'}, 'relevance': 0.655552, 'emotion': {'sadness': 0.215283, 'joy': 0.140969, 'fear': 0.083571, 'disgust': 0.079775, 'anger': 0.04038}}],,,
[{'text': 'matter', 'sentiment': {'score': -0.396518, 'label': 'negative'}, 'relevance': 0.937347, 'emotion': {'sadness': 0.242794, 'joy': 0.111971, 'fear': 0.07925, 'disgust': 0.069136, 'anger': 0.092575}}, {'text': 'kind', 'sentiment': {'score': 0.239157, 'label': 'positive'}, 'relevance': 0.901774, 'emotion': {'sadness': 0.0, 'joy': 0.880435, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'cellphone  https://t.co/ycuBogfJ70', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.940757}, {'text': 'hell talk', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.860575, 'emotion': {'sadness': 0.334764, 'joy': 0.061625, 'fear': 0.105218, 'disgust': 0.117747, 'anger': 0.673205}}],,,,,,,,
[{'text': 'modern estimator programs', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.910609, 'emotion': {'sadness': 0.16408, 'joy': 0.148736, 'fear': 0.095504, 'disgust': 0.078556, 'anger': 0.102595}}, {'text': 'far-off-declared act', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.582722, 'emotion': {'sadness': 0.16408, 'joy': 0.148736, 'fear': 0.095504, 'disgust': 0.078556, 'anger': 0.102595}}],,,
[{'text': 'Happy birthday', 'sentiment': {'score': 0.863708, 'label': 'positive'}, 'relevance': 0.978546, 'emotion': {'sadness': 0.04467, 'joy': 0.922468, 'fear': 0.005158, 'disgust': 0.003105, 'anger': 0.002138}}, {'text': 'sweetest soul', 'sentiment': {'score': 0.929266, 'label': 'positive'}, 'relevance': 0.920899, 'emotion': {'sadness': 0.014427, 'joy': 0.94043, 'fear': 0.031585, 'disgust': 0.001275, 'anger': 0.006912}}],,,
[{'text': 'CHILDs WOODEN PIANO', 'sentiment': {'score': 0.752051, 'label': 'positive'}, 'relevance': 0.965208, 'emotion': {'sadness': 0.036301, 'joy': 0.750189, 'fear': 0.104256, 'disgust': 0.106271, 'anger': 0.056508}}, {'text': 'WORKING CONDITION https://t.co/16UMjt362x', 'sentiment': {'score': 0.752051, 'label': 'positive'}, 'relevance': 0.551627, 'emotion': {'sadness': 0.036301, 'joy': 0.750189, 'fear': 0.104256, 'disgust': 0.106271, 'anger': 0.056508}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.743749, 'label': 'negative'}, 'relevance': 0.987523, 'emotion': {'sadness': 0.87135, 'joy': 0.04825, 'fear': 0.080649, 'disgust': 0.061094, 'anger': 0.064814}}, {'text': 'people', 'sentiment': {'score': -0.743749, 'label': 'negative'}, 'relevance': 0.824645, 'emotion': {'sadness': 0.87135, 'joy': 0.04825, 'fear': 0.080649, 'disgust': 0.061094, 'anger': 0.064814}}],,,
[{'text': 'everybody', 'sentiment': {'score': -0.420525, 'label': 'negative'}, 'relevance': 0.955101, 'emotion': {'sadness': 0.227484, 'joy': 0.382866, 'fear': 0.241198, 'disgust': 0.013099, 'anger': 0.090961}}, {'text': 'addiction', 'sentiment': {'score': -0.623325, 'label': 'negative'}, 'relevance': 0.831879, 'emotion': {'sadness': 0.516859, 'joy': 0.204262, 'fear': 0.216207, 'disgust': 0.019908, 'anger': 0.143079}}],,,
[{'text': 'treatable condition', 'sentiment': {'score': -0.617596, 'label': 'negative'}, 'relevance': 0.902975, 'emotion': {'sadness': 0.783919, 'joy': 0.023684, 'fear': 0.175357, 'disgust': 0.058186, 'anger': 0.185699}}, {'text': 'Field workers', 'sentiment': {'score': -0.617596, 'label': 'negative'}, 'relevance': 0.761282, 'emotion': {'sadness': 0.783919, 'joy': 0.023684, 'fear': 0.175357, 'disgust': 0.058186, 'anger': 0.185699}}],,,
[{'text': 'psych meds', 'sentiment': {'score': -0.326445, 'label': 'negative'}, 'relevance': 0.937063, 'emotion': {'sadness': 0.039591, 'joy': 0.047771, 'fear': 0.931077, 'disgust': 0.020874, 'anger': 0.047094}}, {'text': 'moral panic', 'sentiment': {'score': -0.326445, 'label': 'negative'}, 'relevance': 0.754232, 'emotion': {'sadness': 0.039591, 'joy': 0.047771, 'fear': 0.931077, 'disgust': 0.020874, 'anger': 0.047094}}],,,
[{'text': 'apontar problema nos', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.903788, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}, {'text': 'Flu ainda avalia', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.853564, 'emotion': {'sadness': 0.069996, 'joy': 0.019107, 'fear': 0.097457, 'disgust': 0.035695, 'anger': 0.027334}}],,,
[{'text': 'hands', 'sentiment': {'score': -0.326968, 'label': 'negative'}, 'relevance': 0.921257, 'emotion': {'sadness': 0.046258, 'joy': 0.012577, 'fear': 0.170036, 'disgust': 0.872967, 'anger': 0.13338}}, {'text': 'People', 'sentiment': {'score': -0.326968, 'label': 'negative'}, 'relevance': 0.701774, 'emotion': {'sadness': 0.046258, 'joy': 0.012577, 'fear': 0.170036, 'disgust': 0.872967, 'anger': 0.13338}}],,,
[{'text': 'Possibly. Our RCA', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.944947}, {'text': 'method', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.664596, 'emotion': {'sadness': 0.062803, 'joy': 0.063169, 'fear': 0.181308, 'disgust': 0.03593, 'anger': 0.024969}}],,,,,,,,
[{'text': 'stomach flu rn', 'sentiment': {'score': -0.543226, 'label': 'negative'}, 'relevance': 0.913204, 'emotion': {'sadness': 0.383311, 'joy': 0.090933, 'fear': 0.172806, 'disgust': 0.257317, 'anger': 0.236152}}, {'text': 'people', 'sentiment': {'score': -0.543226, 'label': 'negative'}, 'relevance': 0.454631, 'emotion': {'sadness': 0.383311, 'joy': 0.090933, 'fear': 0.172806, 'disgust': 0.257317, 'anger': 0.236152}}],,,
[{'text': 'du le mettre', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.934716, 'emotion': {'sadness': 0.188869, 'joy': 0.169535, 'fear': 0.081915, 'disgust': 0.048557, 'anger': 0.044497}}, {'text': 'clean sheet', 'sentiment': {'score': 0.498376, 'label': 'positive'}, 'relevance': 0.697112, 'emotion': {'sadness': 0.208728, 'joy': 0.155278, 'fear': 0.054357, 'disgust': 0.235849, 'anger': 0.115912}}],,,
[{'text': 'escalators', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.909609, 'emotion': {'sadness': 0.476069, 'joy': 0.17469, 'fear': 0.049035, 'disgust': 0.023719, 'anger': 0.015314}}, {'text': 'condition', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.738744, 'emotion': {'sadness': 0.476069, 'joy': 0.17469, 'fear': 0.049035, 'disgust': 0.023719, 'anger': 0.015314}}],,,
[{'text': 'manmade virus', 'sentiment': {'score': -0.473347, 'label': 'negative'}, 'relevance': 0.926934, 'emotion': {'sadness': 0.169472, 'joy': 0.286152, 'fear': 0.286434, 'disgust': 0.386787, 'anger': 0.028003}}, {'text': 'black population', 'sentiment': {'score': -0.349863, 'label': 'negative'}, 'relevance': 0.810069, 'emotion': {'sadness': 0.308999, 'joy': 0.020678, 'fear': 0.079792, 'disgust': 0.199901, 'anger': 0.337729}}],,,
[{'text': 'lrrfan khan', 'sentiment': {'score': -0.269875, 'label': 'negative'}, 'relevance': 0.984967, 'emotion': {'sadness': 0.155522, 'joy': 0.073271, 'fear': 0.351931, 'disgust': 0.112312, 'anger': 0.242577}}, {'text': 'latest news', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.865102, 'emotion': {'sadness': 0.347014, 'joy': 0.327922, 'fear': 0.386546, 'disgust': 0.006395, 'anger': 0.041216}}],,,
[{'text': 'new medical condition', 'sentiment': {'score': 0.794711, 'label': 'positive'}, 'relevance': 0.963773, 'emotion': {'sadness': 0.295757, 'joy': 0.455519, 'fear': 0.080583, 'disgust': 0.060979, 'anger': 0.076699}}, {'text': 'Nicasio', 'sentiment': {'score': 0.794711, 'label': 'positive'}, 'relevance': 0.800677, 'emotion': {'sadness': 0.295757, 'joy': 0.455519, 'fear': 0.080583, 'disgust': 0.060979, 'anger': 0.076699}}],,,
[{'text': 'great cadiac condition', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.974106, 'emotion': {'sadness': 0.048568, 'joy': 0.776775, 'fear': 0.050307, 'disgust': 0.069679, 'anger': 0.062582}}, {'text': 'watch football', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.868026, 'emotion': {'sadness': 0.048568, 'joy': 0.776775, 'fear': 0.050307, 'disgust': 0.069679, 'anger': 0.062582}}],,,
[{'text': 'RT', 'sentiment': {'score': 0.307871, 'label': 'positive'}, 'relevance': 0.924619, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}, {'text': 'ass', 'sentiment': {'score': -0.442455, 'label': 'negative'}, 'relevance': 0.891489, 'emotion': {'sadness': 0.327212, 'joy': 0.218056, 'fear': 0.061189, 'disgust': 0.198386, 'anger': 0.199404}}],,,
[{'text': 'present condition', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.955787, 'emotion': {'sadness': 0.007947, 'joy': 0.879786, 'fear': 0.011427, 'disgust': 0.022978, 'anger': 0.041446}}],,,,,,,,,,,,
[{'text': 'petit ch', 'sentiment': {'score': 0.572635, 'label': 'positive'}, 'relevance': 0.93111, 'emotion': {'sadness': 0.34373, 'joy': 0.169262, 'fear': 0.185678, 'disgust': 0.247098, 'anger': 0.085521}}, {'text': 'que', 'sentiment': {'score': 0.529729, 'label': 'positive'}, 'relevance': 0.620751, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'participant', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.97405, 'emotion': {'sadness': 0.096267, 'joy': 0.166732, 'fear': 0.073318, 'disgust': 0.129195, 'anger': 0.079727}}, {'text': 'hrs', 'sentiment': {'score': -0.51741, 'label': 'negative'}, 'relevance': 0.946093, 'emotion': {'sadness': 0.309745, 'joy': 0.406746, 'fear': 0.062153, 'disgust': 0.031385, 'anger': 0.196174}}],,,
[{'text': 'cus class', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.930415, 'emotion': {'sadness': 0.37371, 'joy': 0.050649, 'fear': 0.286076, 'disgust': 0.165151, 'anger': 0.301381}}, {'text': 'elevator', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.624349, 'emotion': {'sadness': 0.37371, 'joy': 0.050649, 'fear': 0.286076, 'disgust': 0.165151, 'anger': 0.301381}}],,,
[{'text': 'dark alley', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.969726, 'emotion': {'sadness': 0.30483, 'joy': 0.152521, 'fear': 0.30308, 'disgust': 0.066237, 'anger': 0.115837}}, {'text': 'speaker ryan', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.950744, 'emotion': {'sadness': 0.30483, 'joy': 0.152521, 'fear': 0.30308, 'disgust': 0.066237, 'anger': 0.115837}}],,,
[{'text': 'tough condition', 'sentiment': {'score': -0.335121, 'label': 'negative'}, 'relevance': 0.935439, 'emotion': {'sadness': 0.620041, 'joy': 0.033843, 'fear': 0.178431, 'disgust': 0.003356, 'anger': 0.15613}}],,,,,,,,,,,,
[{'text': 'Red  Salad Plates', 'sentiment': {'score': 0.722209, 'label': 'positive'}, 'relevance': 0.997221}, {'text': 'Great Condition https://t.co/DveYBinaFg', 'sentiment': {'score': 0.722209, 'label': 'positive'}, 'relevance': 0.543546, 'emotion': {'sadness': 0.088619, 'joy': 0.707859, 'fear': 0.040778, 'disgust': 0.052058, 'anger': 0.027978}}],,,,,,,,
[{'text': 'Nightly', 'sentiment': {'score': 0.370889, 'label': 'positive'}, 'relevance': 0.932793, 'emotion': {'sadness': 0.096751, 'joy': 0.455963, 'fear': 0.094979, 'disgust': 0.100288, 'anger': 0.047994}}, {'text': 'condition', 'sentiment': {'score': -0.446911, 'label': 'negative'}, 'relevance': 0.673013, 'emotion': {'sadness': 0.157713, 'joy': 0.029439, 'fear': 0.409254, 'disgust': 0.094961, 'anger': 0.081685}}],,,
[{'text': 'mental health condition', 'sentiment': {'score': -0.820496, 'label': 'negative'}, 'relevance': 0.987713, 'emotion': {'sadness': 0.720007, 'joy': 0.018944, 'fear': 0.384491, 'disgust': 0.013559, 'anger': 0.020768}}, {'text': 'Bipolar disorder', 'sentiment': {'score': -0.820496, 'label': 'negative'}, 'relevance': 0.869852, 'emotion': {'sadness': 0.720007, 'joy': 0.018944, 'fear': 0.384491, 'disgust': 0.013559, 'anger': 0.020768}}],,,
